"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"October","2022","Others","1366.51","2023-05-29"
"September","2022","Others","1064.97","2023-05-29"
"August","2022","Others","1516.43","2023-05-29"
"July","2022","Others","1213.42","2023-05-29"
"June","2022","Others","1190.70","2023-05-29"
"May","2022","Others","1305.15","2023-05-29"
"April","2022","Others","1282.70","2023-05-29"
"March","2022","Others","1116.00","2023-05-29"
"February","2022","Others","992.00","2023-05-29"
"January","2022","Others","1017.00","2023-05-29"
"December","2021","Others","981.00","2023-05-29"
"November","2021","Others","1143.00","2023-05-29"
"October","2021","Others","978.00","2023-05-29"
"September","2021","Others","1282.00","2023-05-29"
"August","2021","Others","968.00","2023-05-29"
"July","2021","Others","1185.00","2023-05-29"
"June","2021","Others","866.00","2023-05-29"
"May","2021","Others","873.00","2023-05-29"
"April","2021","Others","895.00","2023-05-29"
"March","2021","Others","1186.00","2023-05-29"
"February","2021","Others","993.00","2023-05-29"
"January","2021","Others","1119.00","2023-05-29"
"December","2020","Others","1009.00","2023-05-29"
"November","2020","Others","2516.00","2023-05-29"
"October","2020","Others","937.00","2023-05-29"
"September","2020","Others","894.00","2023-05-29"
"August","2020","Others","876.00","2023-05-29"
"July","2020","Others","932.00","2023-05-29"
"June","2020","Others","880.00","2023-05-29"
"May","2020","Others","769.00","2023-05-29"
"April","2020","Others","680.00","2023-05-29"
"January","2023","Petroleum coke","1514.91","2023-05-29"
"December","2022","Petroleum coke","1418.60","2023-05-29"
"November","2022","Petroleum coke","1514.64","2023-05-29"
"October","2022","Petroleum coke","1722.47","2023-05-29"
"September","2022","Petroleum coke","1381.87","2023-05-29"
"August","2022","Petroleum coke","1230.47","2023-05-29"
"July","2022","Petroleum coke","1668.61","2023-05-29"
"June","2022","Petroleum coke","1297.11","2023-05-29"
"May","2022","Petroleum coke","1472.02","2023-05-29"
"April","2022","Petroleum coke","1726.36","2023-05-29"
"March","2022","Petroleum coke","1373.00","2023-05-29"
"February","2022","Petroleum coke","1520.00","2023-05-29"
"January","2022","Petroleum coke","1782.00","2023-05-29"
"December","2021","Petroleum coke","1683.00","2023-05-29"
"November","2021","Petroleum coke","926.00","2023-05-29"
"October","2021","Petroleum coke","1202.00","2023-05-29"
"September","2021","Petroleum coke","891.00","2023-05-29"
"August","2021","Petroleum coke","928.00","2023-05-29"
"July","2021","Petroleum coke","1168.00","2023-05-29"
